Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.6,212.0,4300.0,MALE,9.34089,-24.45189,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.7,16.0,183.0,3075.0,FEMALE,9.2151,-26.2253,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.4,14.6,211.0,4800.0,FEMALE,8.24515,-25.46782,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.4,214.0,4650.0,,8.24253,-26.8154,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,55.8,19.8,207.0,4000.0,MALE,9.70465,-24.53494,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,34.5,18.1,187.0,2900.0,FEMALE,8.41837,-26.54718,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.4,18.6,190.0,3450.0,FEMALE,9.32105,-24.64162,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.5,14.2,220.0,4700.0,FEMALE,8.64931,-26.68867,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.5,225.0,5250.0,MALE,8.2066,-26.36863,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.3,20.5,199.0,3775.0,MALE,9.49645,-26.36678,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.6,17.2,199.0,3750.0,FEMALE,8.77322,-26.48973,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.2,14.5,208.0,4450.0,FEMALE,8.48367,-26.86485,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,14.7,214.0,4850.0,FEMALE,8.20106,-26.16524,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.2,16.1,187.0,3550.0,FEMALE,7.82381,-26.51382,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,16.1,215.0,5500.0,MALE,8.32359,-26.05756,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.6,17.7,186.0,3500.0,FEMALE,8.46616,-26.12989,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,41.1,18.6,189.0,3325.0,MALE,9.32277,-26.09989,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.8,17.3,228.0,5600.0,MALE,8.27428,-26.30019,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.4,19.0,201.0,3950.0,MALE,9.43782,-24.36202,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,44.1,19.7,196.0,4400.0,MALE,9.2372,-24.52698,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.5,13.5,210.0,4550.0,FEMALE,7.9953,-25.32829,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.6,18.1,186.0,4450.0,MALE,8.49915,-26.42406,
Gentoo penguin (Pygoscelis papua),Biscoe,No,49.6,16.0,225.0,5700.0,MALE,8.38324,-26.84272,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.9,19.1,196.0,3550.0,MALE,10.02372,-24.86594,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.6,17.0,185.0,3600.0,FEMALE,8.58063,-26.21569,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.0,13.5,210.0,4150.0,FEMALE,7.63884,-25.52627,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.8,18.4,195.0,3900.0,MALE,,,Not enough blood for isotopes.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.0,18.1,201.0,4050.0,MALE,9.0233,-24.38933,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.2,14.3,210.0,4600.0,FEMALE,7.6887,-25.50811,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.6,18.4,184.0,3475.0,FEMALE,8.68744,-25.8306,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,39.0,18.7,185.0,3650.0,MALE,9.22033,-26.03442,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,14.1,210.0,4450.0,FEMALE,8.14705,-25.46172,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.8,16.8,230.0,5700.0,MALE,8.47067,-26.69166,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,43.8,13.9,208.0,4300.0,FEMALE,8.58319,-26.84415,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.0,20.0,203.0,4725.0,MALE,9.01079,-26.38085,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.9,16.1,213.0,5400.0,MALE,8.3639,-26.15531,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,15.0,220.0,5000.0,MALE,8.63604,-26.7489,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.1,17.0,230.0,5550.0,MALE,8.27595,-26.11657,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,47.0,17.3,185.0,3700.0,FEMALE,8.72037,-24.80526,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,43.2,16.6,187.0,2900.0,FEMALE,9.35416,-25.01185,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.8,20.0,190.0,4250.0,MALE,9.51929,-25.69199,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,43.2,19.0,197.0,4775.0,MALE,9.31735,-25.45171,
Gentoo penguin (Pygoscelis papua),Biscoe,No,,,,,,,,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.2,15.2,221.0,6300.0,MALE,8.27376,-25.00169,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.9,13.1,215.0,5000.0,FEMALE,7.68528,-25.39181,
Gentoo penguin (Pygoscelis papua),Biscoe,No,42.7,13.7,208.0,3950.0,FEMALE,8.14567,-26.59467,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.6,19.1,194.0,3750.0,MALE,9.108,-25.89677,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.3,13.7,210.0,4300.0,FEMALE,8.37615,-26.72791,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.9,16.8,191.0,3700.0,FEMALE,8.47257,-26.02002,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.2,17.3,187.0,3300.0,FEMALE,8.90723,-26.30037,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.5,20.7,197.0,4500.0,MALE,8.67538,-25.13993,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.6,21.2,191.0,3800.0,MALE,,,Not enough blood for isotopes.
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.5,16.2,229.0,5800.0,MALE,8.49854,-26.74809,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.9,13.8,212.0,4750.0,FEMALE,8.11238,-26.20372,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,38.1,16.5,198.0,3825.0,FEMALE,8.43951,-26.57563,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,46.8,16.5,189.0,3650.0,FEMALE,9.65061,-24.48153,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,45.6,20.3,191.0,4600.0,MALE,8.65466,-26.32909,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.8,17.3,198.0,3675.0,FEMALE,9.32169,-24.41562,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.6,18.0,192.0,3950.0,MALE,8.85562,-26.09294,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.5,15.6,221.0,5450.0,MALE,8.28601,-26.27573,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.6,18.8,193.0,3800.0,MALE,8.56674,-25.98843,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,35.6,17.5,191.0,3175.0,FEMALE,8.75984,-25.97696,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,13.7,214.0,4650.0,FEMALE,7.77672,-25.4168,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.6,14.5,215.0,5400.0,MALE,8.2345,-25.54456,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,42.5,17.3,187.0,3350.0,FEMALE,9.56534,-24.60882,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,15.4,215.0,5150.0,MALE,8.1631,-25.38017,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.9,16.6,192.0,2700.0,FEMALE,9.80589,-24.73735,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.6,17.8,185.0,3700.0,FEMALE,,,Not enough blood for isotopes.
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.8,18.9,208.0,4300.0,MALE,8.48204,-26.57941,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,35.7,16.9,185.0,3150.0,FEMALE,8.96472,-26.40943,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.1,15.0,225.0,5000.0,MALE,8.50153,-26.61414,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.5,17.0,196.0,3500.0,FEMALE,9.36493,-24.66259,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,41.7,14.7,210.0,4700.0,FEMALE,8.12311,-26.44815,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.0,17.9,190.0,3450.0,FEMALE,9.51784,-25.07683,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,42.0,20.2,190.0,4250.0,,9.13362,-25.09368,No blood sample obtained for sexing.
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,35.7,18.0,202.0,3550.0,FEMALE,8.46531,-26.05621,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.9,14.6,222.0,4875.0,FEMALE,7.8881,-26.04726,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.5,18.4,200.0,3400.0,FEMALE,8.9399,-23.89017,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,48.7,15.7,208.0,5350.0,MALE,8.14776,-26.84506,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.3,13.8,216.0,4725.0,,8.25818,-26.23886,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.2,14.1,217.0,4375.0,FEMALE,8.30231,-25.96013,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.8,14.3,215.0,4850.0,FEMALE,8.41151,-26.13832,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,46.5,17.9,192.0,3500.0,FEMALE,9.03935,-24.30229,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.0,17.5,186.0,3550.0,FEMALE,8.57199,-26.07188,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.7,17.0,195.0,3650.0,FEMALE,9.26715,-24.31912,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.3,19.9,198.0,3700.0,MALE,8.79581,-24.36088,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.1,13.2,211.0,4500.0,FEMALE,7.993,-25.5139,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.5,18.5,199.0,4475.0,MALE,8.56708,-26.49288,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,44.5,14.3,216.0,4100.0,,7.96621,-25.69327,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.9,18.9,184.0,3900.0,MALE,8.79665,-25.14591,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,41.4,18.6,191.0,3700.0,MALE,8.35396,-26.27853,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.2,17.1,193.0,3400.0,FEMALE,9.2881,-25.54976,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,37.9,18.6,193.0,2925.0,FEMALE,9.02642,-25.86482,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,42.8,14.2,209.0,4700.0,FEMALE,7.63452,-25.46327,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.0,17.8,195.0,3450.0,FEMALE,8.94332,-25.79189,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,50.7,19.7,203.0,4050.0,MALE,9.93727,-24.59066,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,49.1,14.8,220.0,5150.0,FEMALE,7.89744,-26.63405,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,40.7,17.0,190.0,3725.0,MALE,9.05674,-25.79529,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,36.7,19.3,193.0,3450.0,FEMALE,8.76651,-25.32426,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,49.6,18.2,193.0,3775.0,MALE,9.4618,-24.70615,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,53.5,19.9,205.0,4500.0,MALE,10.02544,-24.90816,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,37.8,17.1,186.0,3300.0,,8.63243,-25.21315,No blood sample obtained for sexing.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.8,20.0,205.0,4550.0,MALE,9.25177,-24.69638,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,50.0,15.3,220.0,5550.0,MALE,8.30515,-25.19017,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,37.0,16.9,185.0,3000.0,FEMALE,9.36392,-25.01745,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,42.3,21.2,191.0,4150.0,MALE,8.87988,-25.18543,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.6,14.2,210.0,4850.0,FEMALE,8.38289,-26.86352,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,51.7,20.3,194.0,3775.0,MALE,8.68747,-24.38751,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.0,19.5,210.0,3950.0,MALE,9.53262,-24.66867,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.7,18.3,196.0,4075.0,MALE,8.91434,-26.42018,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,49.2,18.2,195.0,4400.0,MALE,9.27158,-24.64335,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.1,18.1,193.0,3475.0,,,,No blood sample obtained.
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,47.4,14.6,212.0,4725.0,FEMALE,8.19101,-26.24369,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,38.1,18.6,190.0,3700.0,FEMALE,8.10277,-26.50086,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,36.8,18.5,193.0,3500.0,FEMALE,8.98705,-25.57647,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.6,18.6,183.0,3550.0,MALE,8.93997,-25.36288,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,52.0,20.7,210.0,4800.0,MALE,9.43146,-24.6844,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,42.0,19.5,200.0,4050.0,MALE,8.48095,-26.3146,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,46.3,15.8,215.0,5050.0,MALE,7.90971,-25.38157,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,34.0,17.1,185.0,3400.0,FEMALE,8.01485,-26.69543,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,52.2,17.1,228.0,5400.0,MALE,8.36701,-25.89834,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.1,16.3,220.0,6000.0,MALE,8.40327,-26.76821,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,44.1,18.0,210.0,4000.0,MALE,9.10702,-26.01363,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,38.8,17.6,191.0,3275.0,FEMALE,8.88098,-25.89741,
Chinstrap penguin (Pygoscelis antarctica),Dream,No,50.3,20.0,197.0,3300.0,MALE,10.02019,-24.54704,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,45.5,14.5,212.0,4750.0,FEMALE,8.15566,-26.22848,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,39.7,17.7,193.0,3200.0,FEMALE,9.02657,-26.06203,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,36.5,16.6,181.0,2850.0,FEMALE,9.07878,-25.88156,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,40.6,19.0,199.0,4000.0,MALE,9.22537,-25.60826,
Adelie Penguin (Pygoscelis adeliae),Dream,Yes,42.2,18.5,180.0,3550.0,FEMALE,8.04787,-25.49523,
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,48.5,17.5,191.0,3400.0,MALE,9.42666,-24.26375,
Gentoo penguin (Pygoscelis papua),Biscoe,Yes,51.5,16.3,230.0,5500.0,MALE,8.78557,-25.76147,
Adelie Penguin (Pygoscelis adeliae),Biscoe,Yes,40.1,18.9,188.0,4300.0,MALE,8.51362,-26.55602,
Adelie Penguin (Pygoscelis adeliae),Torgersen,No,37.7,19.8,198.0,3500.0,MALE,9.11066,-26.42563,Nest never observed with full clutch.
Chinstrap penguin (Pygoscelis antarctica),Dream,Yes,45.2,16.6,191.0,3250.0,FEMALE,9.62357,-24.78984,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,34.4,18.4,184.0,3325.0,FEMALE,8.47827,-25.23319,
Adelie Penguin (Pygoscelis adeliae),Torgersen,Yes,39.1,18.7,181.0,3750.0,MALE,,,Not enough blood for isotopes.
